BorrowerState,OriginatingLender,OriginatingLender
PA,First Commonwealth Bank,5824
PA,Truist Bank,5475
PA,Orrstown Bank,4908
PR,Banco Popular de Puerto Rico,46350
PR,FirstBank Puerto Rico,12127
PR,Oriental Bank,8801
PR,"Cooperativa de Ahorro y Cr<ac,e>dito Dr. Manuel Zeno Gand<ac,i>a",829
PR,"Cooperativa de Ahorro y Cr<ac,e>dito de Arecibo (COOPACA)",643
PR,"Cooperativa de Ahorro y Cr<ac,e>dito Jes\da\us Obrero",194
PR,Banesco USA,149
PR,"Cooperativa de Ahorro y Cr<ac,e>dito de Camuy (CAMUY-COOP)",142
PR,"Cooperativa de Ahorro y Cr<ac,e>dito Oriental",127
PR,"Cooperativa de Ahorro y Cr<ac,e>dito Maunabo (MAUNA-COOP)",68
PR,"Cooperativa de Ahorro y Cr<ac,e>dito Vega Alta (VEGA-COOP)",60
PR,Latino Economic Development Corp.,58
PR,First Equity Mortgage Bankers Inc.,53
PR,"Bank of America, National Association",34
PR,Cross River Bank,33
PR,Live Oak Banking Company,33
PR,Itria Ventures LLC,31
PR,Puerto Rico Farm Credit,31
PR,Caribe FCU,29
PR,"Pathstone Enterprise Center, Inc.",29
RI,"Citizens Bank, National Association",7645
RI,The Washington Trust Company of Westerly,2610
RI,BankNewport,2561
RI,"Bank of America, National Association",2430
RI,Bank Rhode Island,2275
RI,Navigant CU,1801
RI,Webster Bank National Association,1069
RI,"Santander Bank, National Association",1061
RI,HarborOne Bank,912
RI,Fountainhead SBF LLC,804
RI,Centreville Bank,784
RI,"TD Bank, National Association",684
RI,Coastal1 Credit Union,669
RI,"Harvest Small Business Finance, LLC",631
RI,Customers Bank,600
RI,Cross River Bank,519
RI,Benworth Capital,503
RI,Bristol County Savings Bank,477
RI,"Capital Plus Financial, LLC",450
RI,"Prestamos CDFI, LLC",442
SC,"Prestamos CDFI, LLC",11832
SC,"SouthState Bank, National Association",8611
SC,First-Citizens Bank & Trust Company,7539
SC,"Capital Plus Financial, LLC",7157
SC,"Bank of America, National Association",6387
SC,Benworth Capital,5874
SC,"Harvest Small Business Finance, LLC",5591
SC,Truist Bank,5410
SC,Fountainhead SBF LLC,4974
SC,"Wells Fargo Bank, National Association",4871
SC,Cross River Bank,4138
SC,"BSD Capital, LLC dba Lendistry",3622
SC,Customers Bank,3323
SC,Synovus Bank,3295
SC,"Kabbage, Inc.",3089
SC,"TD Bank, National Association",3052
SC,United Community Bank,2931
SC,Anderson Brothers Bank,2927
SC,Itria Ventures LLC,2601
SC,Pinnacle Bank,2467
SD,First Interstate Bank,4833
SD,Dacotah Bank,4367
SD,First Dakota National Bank,3951
SD,First Bank & Trust,2804
SD,American Bank & Trust,2741
SD,"BankWest, Inc",2393
SD,"Farm Credit Services of America, ACA",2346
SD,First PREMIER Bank,2266
SD,CorTrust Bank National Association,2010
SD,First National Bank,1872
SD,First Fidelity Bank,1758
SD,The First National Bank in Sioux Falls,1725
SD,Plains Commerce Bank,1659
SD,Black Hills FCU,1415
SD,Pioneer Bank & Trust,1391
SD,Great Plains Bank,1178
SD,Reliabank Dakota,1086
SD,First National Bank in Philip,823
SD,"U.S. Bank, National Association",785
SD,First Savings Bank,756
TN,First Horizon Bank,14187
TN,Pinnacle Bank,13529
TN,Regions Bank,11998
TN,"Prestamos CDFI, LLC",10717
TN,"Capital Plus Financial, LLC",8617
TN,Benworth Capital,6820
TN,Fountainhead SBF LLC,6494
TN,"Harvest Small Business Finance, LLC",6048
TN,Itria Ventures LLC,5867
TN,Cross River Bank,5818
TN,"U.S. Bank, National Association",4425
TN,"BSD Capital, LLC dba Lendistry",4391
TN,Truist Bank,4340
TN,"Bank of America, National Association",4327
TN,"Kabbage, Inc.",4003
TN,One Bank of Tennessee,3483
TN,Customers Bank,3361
TN,SmartBank,3326
TN,FirstBank,3258
TN,Celtic Bank Corporation,2712
TX,"JPMorgan Chase Bank, National Association",47880
TX,"Prestamos CDFI, LLC",45894
TX,Fountainhead SBF LLC,41690
TX,Cross River Bank,41340
TX,"Bank of America, National Association",37857
TX,"Capital Plus Financial, LLC",37720
TX,Frost Bank,32194
TX,"Wells Fargo Bank, National Association",24696
TX,Benworth Capital,23851
TX,"Harvest Small Business Finance, LLC",20434
TX,"Kabbage, Inc.",17814
TX,Prosperity Bank,17427
TX,Customers Bank,17220
TX,"BSD Capital, LLC dba Lendistry",16619
TX,First Source FCU,16084
TX,Itria Ventures LLC,15370
TX,Celtic Bank Corporation,14410
TX,"Zions Bank, A Division of",13649
TX,Allegiance Bank,9947
TX,"Readycap Lending, LLC",9577
UT,"Zions Bank, A Division of",16693
UT,Cache Valley Bank,10092
UT,Mountain America FCU,8295
UT,America First FCU,4220
UT,"JPMorgan Chase Bank, National Association",3568
UT,"Wells Fargo Bank, National Association",2807
UT,Cross River Bank,2433
UT,State Bank of Southern Utah,2257
UT,"U.S. Bank, National Association",2172
UT,KeyBank National Association,1976
UT,Bank of Utah,1825
UT,Goldenwest FCU,1621
UT,"Readycap Lending, LLC",1492
UT,Glacier Bank,1404
UT,Celtic Bank Corporation,1259
UT,Central Bank,1098
UT,Utah First FCU,929
UT,First Utah Bank,911
UT,"Kabbage, Inc.",867
UT,Fountainhead SBF LLC,808
VA,Truist Bank,15459
VA,Atlantic Union Bank,15289
VA,"Bank of America, National Association",12641
VA,"Wells Fargo Bank, National Association",9628
VA,Towne Bank,7659
VA,Cross River Bank,6986
VA,"Prestamos CDFI, LLC",6775
VA,Fountainhead SBF LLC,5951
VA,United Bank,5469
VA,The First Bank and Trust Company,5235
VA,Benworth Capital,5035
VA,"Harvest Small Business Finance, LLC",4951
VA,"Capital Plus Financial, LLC",4563
VA,Customers Bank,4507
VA,"Kabbage, Inc.",4113
VA,Primis Bank,3508
VA,"PNC Bank, National Association",3341
VA,"BSD Capital, LLC dba Lendistry",3299
VA,Celtic Bank Corporation,3277
VA,WebBank,3125
VI,Banco Popular de Puerto Rico,1015
VI,FirstBank Puerto Rico,892
VI,Merchants Commercial Bank,500
VI,"United Fidelity Bank, FSB",446
VI,Oriental Bank,207
VI,The Economic Development Bank for the United States Virgin Islands,57
VI,"Bank of America, National Association",25
VI,Cross River Bank,25
VI,Fountainhead SBF LLC,24
VI,Benworth Capital,23
VI,Greater Nevada CU,23
VI,"Harvest Small Business Finance, LLC",14
VI,"Kabbage, Inc.",14
VI,"Prestamos CDFI, LLC",10
VI,Itria Ventures LLC,8
VI,"BSD Capital, LLC dba Lendistry",7
VI,Celtic Bank Corporation,7
VI,1st Source Bank,6
VI,"Capital Plus Financial, LLC",5
VI,Live Oak Banking Company,4
WA,"Bank of America, National Association",16158
WA,"U.S. Bank, National Association",12079
WA,KeyBank National Association,9017
WA,"JPMorgan Chase Bank, National Association",8915
WA,Banner Bank,7568
WA,Cross River Bank,7173
WA,Umpqua Bank,6768
WA,Washington Trust Bank,6286
WA,Heritage Bank,5902
WA,"Wells Fargo Bank, National Association",5599
WA,Coastal Community Bank,5221
WA,Boeing Empl CU,4888
WA,Columbia State Bank,4060
WA,Fountainhead SBF LLC,3608
WA,"Kabbage, Inc.",3592
WA,Washington Federal Bank,3283
WA,Celtic Bank Corporation,3274
WA,Peoples Bank,2922
WA,Customers Bank,2737
WA,Itria Ventures LLC,2694
WI,"Associated Bank, National Association",9582
WI,BMO Harris Bank National Association,9328
WI,Nicolet National Bank,7024
WI,"U.S. Bank, National Association",6903
WI,Cross River Bank,3986
WI,"Prestamos CDFI, LLC",3888
WI,"Bank First, N.A.",3832
WI,"Capital Plus Financial, LLC",3603
WI,"JPMorgan Chase Bank, National Association",3590
WI,"Compeer Financial, ACA",3372
WI,Fountainhead SBF LLC,2874
WI,Johnson Bank,2796
WI,Benworth Capital,2738
WI,Waukesha State Bank,2732
WI,"Harvest Small Business Finance, LLC",2566
WI,Summit CU,2527
WI,"Kabbage, Inc.",2370
WI,Peoples State Bank,2353
WI,"BSD Capital, LLC dba Lendistry",2210
WI,Citizens Community Federal National Association,1974
WV,United Bank,3196
WV,Peoples Bank,2568
WV,"WesBanco Bank, Inc.",2454
WV,City National Bank of West Virginia,1563
WV,Truist Bank,1482
WV,The Huntington National Bank,1395
WV,"Clear Mountain Bank, Inc.",987
WV,"Summit Community Bank, Inc.",771
WV,"Pendleton Community Bank, Inc.",768
WV,First Community Bank,680
WV,First United Bank & Trust,608
WV,"Citizens Bank of West Virginia, Inc",604
WV,The Grant County Bank,580
WV,"JPMorgan Chase Bank, National Association",545
WV,"CNB Bank, Inc.",542
WV,Main Street Bank Corp.,454
WV,Fountainhead SBF LLC,432
WV,The Harrison County Bank,412
WV,Logan Bank & Trust Company,405
WV,Cross River Bank,403
WY,First Interstate Bank,3325
WY,Glacier Bank,2095
WY,Pinnacle Bank-Wyoming,1984
WY,Hilltop National Bank,1024
WY,Jonah Bank of Wyoming,930
WY,Bank of Jackson Hole,883
WY,First Northern Bank of Wyoming,854
WY,Platte Valley Bank,813
WY,Security State Bank,804
WY,The Converse County Bank,688
WY,First National Bank of Gillette,643
WY,ANB Bank,620
WY,"Wells Fargo Bank, National Association",574
WY,Central Bank & Trust,499
WY,Wyoming Community Bank,429
WY,"U.S. Bank, National Association",425
WY,First Western Trust Bank,384
WY,First Federal Bank & Trust,371
WY,First National Bank of Omaha,337
WY,"Bank of Bridger, National Association",333
